title,sinopsis,rating,genre
 Limitless,"A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers.",7.4,"['Sci-Fi', 'Thriller']"
 Lost,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,8.3,"['Adventure', 'Drama', 'Fantasy']"
 Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,8.5,"['Drama', 'Romance', 'War']"
 Zodiac,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",7.7,"['Crime', 'Drama', 'Mystery']"
 Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",7.0,"['Action', 'Adventure', 'Sci-Fi']"
 Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,"['Biography', 'Drama', 'History']"
 Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",7.7,"['Adventure', 'Family', 'Fantasy']"
 A Quiet Place,A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.,7.5,"['Drama', 'Horror', 'Sci-Fi']"
 Tenet,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",7.3,"['Action', 'Sci-Fi', 'Thriller']"
 21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,"['Action', 'Comedy', 'Crime']"
 Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",7.6,"['Action', 'Adventure', 'Family']"
 Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",7.4,"['Action', 'Drama', 'Sci-Fi']"
 The Great Gatsby,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age.",7.2,"['Drama', 'Romance']"
 Bohemian Rhapsody,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",7.9,"['Biography', 'Drama', 'Music']"
 Shaun of the Dead,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",7.9,"['Comedy', 'Horror']"
 The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.6,"['Action', 'Adventure', 'Fantasy']"
 Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,"['Biography', 'Comedy', 'Drama']"
 Ex Machina,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,7.7,"['Drama', 'Sci-Fi', 'Thriller']"
 Prison Break,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",8.3,"['Action', 'Crime', 'Drama']"
 Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",8.5,"['Action', 'Adventure', 'Drama']"
 Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",7.6,"['Action', 'Comedy', 'Crime']"
 Despicable Me,"Gru, a criminal mastermind, adopts three orphans as pawns to carry out the biggest heist in history. His life takes an unexpected turn when the little girls see the evildoer as their potential father.",7.6,"['Animation', 'Adventure', 'Comedy']"
 Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",8.0,"['Adventure', 'Drama', 'Thriller']"
 Minority Report,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",7.6,"['Action', 'Crime', 'Mystery']"
 Watchmen,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",7.6,"['Action', 'Drama', 'Mystery']"
 X2: X-Men United,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",7.4,"['Action', 'Sci-Fi', 'Thriller']"
" I, Robot","In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",7.1,"['Action', 'Mystery', 'Sci-Fi']"
 Back to the Future Part II,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",7.8,"['Adventure', 'Comedy', 'Sci-Fi']"
 The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",7.8,"['Action', 'Mystery', 'Thriller']"
 The Hobbit: The Battle of the Five Armies,Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,7.4,"['Adventure', 'Fantasy']"
 Rise of the Planet of the Apes,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,7.6,"['Action', 'Drama', 'Sci-Fi']"
 The Witcher,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.0,"['Action', 'Adventure', 'Drama']"
 Troy,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces.",7.3,"['Adventure', 'Drama']"
 The Last of Us,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",8.7,"['Action', 'Adventure', 'Drama']"
 Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",8.2,"['Adventure', 'Comedy', 'Fantasy']"
 Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake.",8.0,"['Action', 'Drama', 'Mystery']"
" Crazy, Stupid, Love","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",7.4,"['Comedy', 'Drama', 'Romance']"
 Spider-Man: Far from Home,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",7.4,"['Action', 'Adventure', 'Comedy']"
 Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",8.2,"['Crime', 'Drama']"
 The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,8.0,"['Biography', 'Drama']"
 Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",6.8,"['Adventure', 'Comedy', 'Fantasy']"
 500 Days of Summer,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",7.7,"['Comedy', 'Drama', 'Romance']"
 Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,"['Horror', 'Thriller']"
 Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",6.6,"['Action', 'Adventure', 'Fantasy']"
 The Kashmir Files,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",8.5,['Drama']
 The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,7.5,"['Horror', 'Mystery', 'Thriller']"
 Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",8.1,"['Comedy', 'Drama']"
" Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,8.1,"['Comedy', 'Crime', 'Drama']"
 Attack on Titan,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.1,"['Animation', 'Action', 'Adventure']"
 Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0,"['Animation', 'Action', 'Adventure']"
 Fury,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",7.6,"['Action', 'Drama', 'War']"
 Oblivion,"Jack Harper, a drone repairman stationed on Earth that has been ravaged by war with extraterrestrials, questions his identity after rescuing the woman who keeps appearing in his dreams.",7.0,"['Action', 'Adventure', 'Sci-Fi']"
 Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",6.6,"['Action', 'Adventure', 'Sci-Fi']"
 The Perks of Being a Wallflower,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",7.9,['Drama']
 Source Code,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,7.5,"['Action', 'Drama', 'Mystery']"
 Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,7.8,"['Action', 'Adventure', 'Comedy']"
 Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child.",7.4,"['Comedy', 'Drama']"
 Rain Man,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",8.0,['Drama']
 Mr,"A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.",6.5,"['Action', 'Comedy', 'Crime']"
 Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",8.5,"['Action', 'Adventure', 'Drama']"
 The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,6.7,"['Action', 'Sci-Fi']"
 X-Men: The Last Stand,"The human government develops a cure for mutations, and Jean Grey becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",6.6,"['Action', 'Adventure', 'Sci-Fi']"
 Money Heist,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,8.2,"['Action', 'Crime', 'Drama']"
 The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",6.6,"['Action', 'Adventure', 'Sci-Fi']"
 X-Men Origins: Wolverine,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",6.5,"['Action', 'Sci-Fi']"
 Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",6.4,"['Action', 'Sci-Fi', 'Thriller']"
 The Hangover Part II,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",6.5,['Comedy']
 Hot Fuzz,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town.",7.8,"['Action', 'Comedy', 'Mystery']"
 Indiana Jones and the Temple of Doom,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace.",7.5,"['Action', 'Adventure']"
 Westworld,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",8.5,"['Drama', 'Mystery', 'Sci-Fi']"
 Charlie and the Chocolate Factory,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",6.7,"['Adventure', 'Comedy', 'Family']"
 American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",7.3,"['Action', 'Biography', 'Drama']"
 Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",7.6,"['Comedy', 'Drama', 'Romance']"
 Children of Men,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",7.9,"['Drama', 'Sci-Fi', 'Thriller']"
 House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,8.6,['Drama']
 Pacific Rim,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",6.9,"['Action', 'Adventure', 'Sci-Fi']"
 House,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.",8.7,"['Drama', 'Mystery']"
 Edward Scissorhands,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,7.9,"['Drama', 'Fantasy', 'Romance']"
 Kung Fu Panda,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",7.6,"['Animation', 'Action', 'Adventure']"
 Mission: Impossible - Ghost Protocol,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",7.4,"['Action', 'Adventure', 'Thriller']"
 Rear Window,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,8.5,"['Drama', 'Mystery', 'Thriller']"
 The Incredible Hulk,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.6,"['Action', 'Adventure', 'Sci-Fi']"
 Ice Age,"Manny the mammoth, Sid the loquacious sloth, and Diego the sabre-toothed tiger go on a comical quest to return a human baby back to his father, across a world on the brink of an ice age.",7.5,"['Animation', 'Adventure', 'Comedy']"
 The Butterfly Effect,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",7.6,"['Drama', 'Sci-Fi', 'Thriller']"
 Aquaman,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",6.8,"['Action', 'Adventure', 'Fantasy']"
 Dr,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",8.3,"['Comedy', 'War']"
 Little Miss Sunshine,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,7.8,"['Comedy', 'Drama']"
 Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",7.9,"['Biography', 'Drama']"
 John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",7.4,"['Action', 'Crime', 'Thriller']"
 The Maze Runner,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",6.8,"['Mystery', 'Sci-Fi', 'Thriller']"
 Rush,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",8.1,"['Biography', 'Drama', 'Sport']"
 Hancock,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,6.4,"['Action', 'Comedy', 'Drama']"
 Shrek 2,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",7.4,"['Animation', 'Adventure', 'Comedy']"
 The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",7.6,"['Action', 'Adventure', 'Sci-Fi']"
 Avatar: The Way of Water,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",7.5,"['Action', 'Adventure', 'Fantasy']"
 Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",7.8,"['Animation', 'Action', 'Adventure']"
 Fantastic Beasts and Where to Find Them,"In 1926, magizoologist Newt Scamander arrives in New York during his worldwide tour to research and rescue magical creatures as something mysterious leaves trails of destruction in the city, threatening to expose the wizarding world.",7.2,"['Adventure', 'Family', 'Fantasy']"
 Top Gun,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds with the other pilots, especially the cool and collected Iceman.",6.9,"['Action', 'Drama']"
 The Hunger Games: Mockingjay - Part 1,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",6.6,"['Action', 'Adventure', 'Sci-Fi']"
 It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.6,"['Drama', 'Family', 'Fantasy']"
 Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1,"['Biography', 'Crime', 'Drama']"
 Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",7.7,"['Animation', 'Adventure', 'Comedy']"
 Star Wars: Episode IX - The Rise of Skywalker,The surviving Resistance faces the First Order once again in the conclusion of the Skywalker saga.,6.4,"['Action', 'Adventure', 'Fantasy']"
 Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.1,"['Drama', 'Sport']"
 The Terminal,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",7.4,"['Comedy', 'Drama', 'Romance']"
 The Girl with the Dragon Tattoo,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by hacker Lisbeth Salander.,7.8,"['Crime', 'Drama', 'Mystery']"
 American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",7.2,"['Crime', 'Drama']"
 The Wolverine,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",6.7,"['Action', 'Sci-Fi']"
 The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.1,['Drama']
 Ready Player One,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",7.4,"['Action', 'Adventure', 'Sci-Fi']"
 Lost in Translation,A fading movie star falls for a lonely young woman in Tokyo.,7.7,"['Comedy', 'Drama']"
 Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,"['Action', 'Biography', 'Drama']"
 Modern Family,"Three different, but related, families face trials and tribulations in their own uniquely comedic ways.",8.5,"['Comedy', 'Drama', 'Romance']"
 Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",7.8,"['Action', 'Biography', 'Crime']"
 Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",7.7,"['Action', 'Adventure', 'Sci-Fi']"
 The Sopranos,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",9.2,"['Crime', 'Drama']"
 Suits,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.4,"['Comedy', 'Drama']"
 Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl who can travel across multiverses, to battle other-universe versions of himself which threaten to wipe out the multiverse. They seek help from the Scarlet Witch, Wong and others.",6.9,"['Action', 'Adventure', 'Fantasy']"
 The Big Short,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",7.8,"['Biography', 'Comedy', 'Drama']"
 Supernatural,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",8.4,"['Drama', 'Fantasy', 'Horror']"
 Divergent,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",6.6,"['Action', 'Adventure', 'Mystery']"
 Indiana Jones and the Kingdom of the Crystal Skull,"Set in 1957, it pits Indiana Jones against Soviet KGB agents led by Irina Spalko searching for a telepathic crystal skull located in Peru.",6.2,"['Action', 'Adventure']"
 We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,7.0,"['Comedy', 'Crime']"
 Twilight,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",5.3,"['Drama', 'Fantasy', 'Romance']"
 Mystic River,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",7.9,"['Crime', 'Drama', 'Mystery']"
 The Bourne Supremacy,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",7.7,"['Action', 'Thriller']"
 Dawn of the Planet of the Apes,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,7.6,"['Action', 'Adventure', 'Drama']"
 Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,7.7,"['Action', 'Crime', 'Drama']"
 Back to the Future Part III,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",7.4,"['Adventure', 'Comedy', 'Sci-Fi']"
 The Theory of Everything,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally.,7.7,"['Biography', 'Drama', 'Romance']"
 The Day After Tomorrow,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",6.5,"['Action', 'Adventure', 'Sci-Fi']"
 Cars,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.3,"['Animation', 'Adventure', 'Comedy']"
 Sherlock Holmes: A Game of Shadows,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",7.4,"['Action', 'Adventure', 'Mystery']"
 Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8.0,"['Animation', 'Family', 'Fantasy']"
 Daredevil,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",8.6,"['Action', 'Crime', 'Drama']"
 The Devil Wears Prada,"With an aspiration to become a journalist, Andy, a smart but sensible young graduate, travels to New York. She starts working as an assistant to one of the city's biggest high fashion magazine editors, the cynical Miranda Priestly.",6.9,"['Comedy', 'Drama']"
 Narcos,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.7,"['Biography', 'Crime', 'Drama']"
 Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,7.8,"['Crime', 'Drama', 'Thriller']"
 Justice League,"Steppenwolf and his Parademons return after eons to capture Earth. However, Batman seeks the help of Wonder Woman to recruit and assemble Flash, Cyborg and Aquaman to fight the powerful new enemy.",6.1,"['Action', 'Adventure', 'Fantasy']"
 The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,"['Horror', 'Mystery', 'Sci-Fi']"
 War of the Worlds,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,6.5,"['Action', 'Adventure', 'Sci-Fi']"
 Gangs of New York,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher; his father's killer.",7.5,"['Crime', 'Drama']"
 Saw,"Two men awaken to find themselves on the opposite sides of a dead body, each with specific instructions to kill the other or face consequences. These two are the latest victims of the Jigsaw Killer.",7.6,"['Horror', 'Mystery', 'Thriller']"
 The Last Samurai,"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.",7.8,"['Action', 'Drama']"
 Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",7.2,"['Action', 'Adventure', 'Thriller']"
 The Hurt Locker,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",7.5,"['Drama', 'Thriller', 'War']"
 Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,"['Animation', 'Adventure', 'Comedy']"
 Quantum of Solace,James Bond tries to stop an organisation from eliminating a country's most valuable resource.,6.5,"['Action', 'Adventure', 'Mystery']"
 The 40-Year-Old Virgin,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",7.1,"['Comedy', 'Romance']"
 Elysium,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.",6.6,"['Action', 'Drama', 'Sci-Fi']"
 Moneyball,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7.6,"['Biography', 'Drama', 'Sport']"
 Horrible Bosses,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,6.9,"['Comedy', 'Crime']"
 Scott Pilgrim vs,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.6,"['Action', 'Comedy', 'Fantasy']"
